video_id,source_video,raw_tracking_rows,unique_raw_track_ids,trajectory_segments,cleaned_rows,observed_rows,interpolated_rows,segments_ge_5s,individual_windows,median_individual_coverage,median_mean_speed_diag_s,median_path_efficiency,median_mean_abs_turn_rad,median_mean_nnd_diag,group_windows,median_active_tracks,median_group_nnd_diag,median_group_pairwise_distance_diag,median_group_rms_radius_diag,median_group_polarization,warnings
TOP_VIDEO_1,1.mp4,2424,33,49,2455,2417,38,8,82,1.0,0.018273381813350913,0.5100070236140763,0.6871782582032244,0.16324561491801898,53,2.0,0.19157739893259512,0.20271616113925228,0.09618718879052626,0.6266762741492309,Identity fragmentation; active tracks are not fish count; frame geometry is not tank geometry.
TOP_VIDEO_2,2.mp4,6330,53,78,6364,6329,35,26,300,1.0,0.025104090976060683,0.48320315554058224,0.5026752454054572,0.17955205004400587,114,3.0,0.16609789000005934,0.27761576620073514,0.16584573324962953,0.5040821970670022,Identity fragmentation; active tracks are not fish count; frame geometry is not tank geometry.
