window_start_sec,window_end_sec,window_mid_sec,n_points,coverage_ratio,observed_ratio,interpolated_ratio,distance_5s_px,distance_last_1s_px,net_displacement_px,path_efficiency,mean_speed_px_s,median_speed_px_s,max_speed_px_s,speed_std_px_s,mean_speed_norm_s,max_speed_norm_s,mean_abs_accel_px_s2,mean_abs_turn_rad,immobile_ratio,x_mean_norm,x_std_norm,x_range_norm,y_mean_norm,y_std_norm,y_range_norm,bbox_area_mean_norm,window_id,video_id,context,pred_track_id,trajectory_uid
40.0,45.0,42.5,142,1.0,1.0,0.0,415.35679850911373,121.34233606005186,117.4242967036328,0.28270705361057497,83.78426136991978,75.94341227051774,459.712858200953,72.0139532860942,0.052365163356199854,0.2873205363755956,1062.3586299651029,0.48157354111842005,0.1347517730496454,0.14275325124322524,0.03002853143287331,0.10797149091959,0.5939378202241352,0.03331961956919921,0.11087764104207354,0.018595927143293722,V3_FEEDING:T102:S0:W000040000,V3_FEEDING,FEEDING,102,V3_FEEDING:T102:S0
41.0,46.0,43.5,142,1.0,1.0,0.0,421.3134994125692,47.619497702325944,173.113321219591,0.4108895667026103,84.98582539195785,73.73433079277942,459.712858200953,71.17115249106516,0.053116140869973655,0.2873205363755956,1038.1339418921773,0.4322652556474188,0.1276595744680851,0.16467927753085818,0.03468001518067586,0.1284998238086701,0.585974944141549,0.04203359984772131,0.13353188832600904,0.01910511453300651,V3_FEEDING:T102:S0:W000041000,V3_FEEDING,FEEDING,102,V3_FEEDING:T102:S0
42.0,47.0,44.5,142,1.0,1.0,0.0,489.0863326698293,160.33877541236532,258.70901353128323,0.528963899111717,98.65671460284362,87.25120236844708,459.712858200953,78.84354444388032,0.06166044662677726,0.2873205363755956,1069.4477272692445,0.40374606971474986,0.10638297872340426,0.1941346077012344,0.05048908023239047,0.1838107883930206,0.5655714604776231,0.0696913624386769,0.25581272443135583,0.018766689940989807,V3_FEEDING:T102:S0:W000042000,V3_FEEDING,FEEDING,102,V3_FEEDING:T102:S0
43.0,48.0,45.5,142,1.0,1.0,0.0,538.9580699050622,155.08435082290345,482.44917590538654,0.8951515949846901,108.71665988961172,103.1267512882282,303.28436061959735,73.61366778822597,0.06794791243100733,0.18955272538724835,981.9425288701752,0.3079905939324255,0.06382978723404255,0.23655137663156206,0.07936074205060457,0.2561205327510834,0.50438723860772,0.1160593032087415,0.37227895259857174,0.017793394213671165,V3_FEEDING:T102:S0:W000043000,V3_FEEDING,FEEDING,102,V3_FEEDING:T102:S0
44.0,49.0,46.5,142,1.0,1.0,0.0,772.8114585365843,269.3113409834993,628.5897657222837,0.813380493752768,155.88871414675438,131.19542306041888,625.4320218705236,116.43973209663706,0.09743044634172149,0.39089501366907725,1253.4589698158197,0.2832862537707447,0.03546099290780142,0.3028670404998349,0.10854477512549499,0.37389936447143557,0.4161533601966822,0.1509449496639313,0.4914742946624756,0.017679046080699527,V3_FEEDING:T102:S0:W000044000,V3_FEEDING,FEEDING,102,V3_FEEDING:T102:S0
45.0,50.0,47.5,143,1.0,1.0,0.0,788.0648623150933,129.88928175517674,562.4174220894555,0.7136689490725996,157.84609934801566,137.03392922060735,625.4320218705236,116.86267530295233,0.0986538120925098,0.39089501366907725,1262.5053182711379,0.2842422889793071,0.035211267605633804,0.3795211731970726,0.13257213050559363,0.39812697172164924,0.3502824480439122,0.12883483529384973,0.397622553507487,0.017711563789503528,V3_FEEDING:T102:S0:W000045000,V3_FEEDING,FEEDING,102,V3_FEEDING:T102:S0
48.0,53.0,50.5,142,1.0,1.0,0.0,737.4302680075318,94.86554069922852,419.8678283366896,0.5693661442337233,148.75174919155015,137.8714568613883,409.07412485838597,85.07430415745479,0.09296984324471885,0.25567132803649123,1448.964392380764,0.31072846332385384,0.03546099290780142,0.1936785999633057,0.07038567700479095,0.21822150349617014,0.7008548399652115,0.14917193515464353,0.40508033434549967,0.015376981888885958,V3_FEEDING:T107:S0:W000048000,V3_FEEDING,FEEDING,107,V3_FEEDING:T107:S0
49.0,54.0,51.5,142,1.0,1.0,0.0,657.4668122350918,63.85748680463818,499.3729476588649,0.7595409203412432,132.62181198448343,116.00741826610427,409.07412485838597,84.26009654934747,0.08288863249030215,0.25567132803649123,1326.1804934232518,0.287653386141674,0.028368794326241134,0.2346085357519102,0.08370595892205561,0.2530156433582306,0.6245600370174282,0.15982224887618968,0.43562750816345214,0.015602961312888616,V3_FEEDING:T107:S0:W000049000,V3_FEEDING,FEEDING,107,V3_FEEDING:T107:S0
52.0,57.0,54.5,143,1.0,1.0,0.0,698.4276393008154,184.66521689644478,563.1772486489394,0.8063501742467224,139.89213808697477,146.11174866921664,380.79891273642556,87.72446605511561,0.08743258630435924,0.23799932046026598,1304.560579310305,0.2794395635324156,0.07042253521126761,0.28097118701968155,0.09623295718822751,0.35523838698863985,0.8163756497256406,0.10097362888514552,0.34612790743509925,0.02144891902361928,V3_FEEDING:T113:S2:W000052000,V3_FEEDING,FEEDING,113,V3_FEEDING:T113:S2
53.0,58.0,55.5,142,1.0,1.0,0.0,769.2316785333504,249.7329471489309,551.0158329103679,0.7163197360266779,155.1666139559915,148.39728282963424,715.2955377088459,121.17460250634007,0.0969791337224947,0.4470597110680287,1499.9966005375825,0.2751121467338747,0.07092198581560284,0.35953311072268945,0.12114179887306571,0.43029969930648815,0.8610530255546033,0.04108951274215227,0.18151419957478832,0.021508315389699738,V3_FEEDING:T113:S2:W000053000,V3_FEEDING,FEEDING,113,V3_FEEDING:T113:S2
