,precision,recall,f1-score,support
NORMAL_SWIM,0.6571428571428571,0.8518518518518519,0.7419354838709677,54.0
PAIR_INTERACTION,0.5294117647058824,0.42857142857142855,0.47368421052631576,21.0
SHELTER_TRANSITION,0.9,0.5625,0.6923076923076923,16.0
FEEDING,0.0,0.0,0.0,7.0
accuracy,0.6530612244897959,0.6530612244897959,0.6530612244897959,0.6530612244897959
macro avg,0.5216386554621849,0.4607308201058201,0.47698184667624394,98.0
weighted avg,0.6224832790258961,0.6530612244897959,0.6233551798674283,98.0
