model,cv_method,cv_splits,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,macro_f1_std,weighted_f1_mean
RANDOM_FOREST,StratifiedGroupKFold,5,0.6582692307692308,0.47940420690420693,0.45712108554213826,0.11559399973058747,0.6174933010459325
LOGISTIC_REGRESSION,StratifiedGroupKFold,5,0.4680769230769231,0.4361083361083361,0.35424422799422794,0.08983668740970122,0.46591426628926624
MAJORITY_BASELINE,StratifiedGroupKFold,5,0.5575,0.25,0.17876261373035565,0.008184386387678277,0.3999495450785774
