video_id,source_video,group_windows,median_group_frame_coverage,median_active_tracks,median_nnd_diag,median_pairwise_distance_diag,median_group_rms_radius_diag,median_group_bbox_area_ratio,median_group_convex_hull_area_ratio,median_group_polarization,median_social_metric_frame_ratio,observed_rows_only,decision
TOP_VIDEO_1,1.mp4,53,1.0,2.0,0.19157739893259512,0.20271616113925228,0.09618718879052626,0.04325021300005229,0.025219077662313526,0.6266762741492309,0.8762886597938144,True,PASS_WITH_WARNING
TOP_VIDEO_2,2.mp4,114,1.0,3.0,0.16609789000005934,0.27761576620073514,0.16584573324962953,0.12909499679306166,0.06165202162293204,0.5040821970670022,1.0,True,PASS_WITH_WARNING
