table,feature,rows,nan_rate,inf_count,min,p01,median,p99,max,hard_validity_pass
individual_window,track_id,382,0.0,0,1.0,1.0,25.0,95.0,98.0,True
individual_window,window_start_sec,382,0.0,0,0.0,1.0,46.0,113.0,113.0,True
individual_window,window_end_sec,382,0.0,0,5.0,6.0,51.0,118.0,118.0,True
individual_window,window_mid_sec,382,0.0,0,2.5,3.5,48.5,115.5,115.5,True
individual_window,fps_source,382,0.0,0,17.17219034092054,17.17219034092054,17.17219034092054,19.350642974397303,19.350642974397303,True
individual_window,n_points,382,0.0,0,52.0,53.81,86.0,97.0,97.0,True
individual_window,coverage_ratio,382,0.0,0,0.6041666666666666,0.6075641333013665,1.0,1.0,1.0,True
individual_window,observed_ratio,382,0.0,0,0.9310344827586207,0.9509363217427734,1.0,1.0,1.0,True
individual_window,interpolated_ratio,382,0.0,0,0.0,0.0,0.0,0.049063678257226635,0.06896551724137931,True
individual_window,window_time_span_sec,382,0.0,0,2.945638554512957,2.992110754409799,4.909397590854931,4.961075460232351,4.961075460232351,True
individual_window,mean_detection_confidence,382,0.0,0,0.6712291185502652,0.6988958776780925,0.7504073341551623,0.8201389042236084,0.8381409901519155,True
individual_window,path_length_px,382,0.0,0,24.333796078282184,44.32689519685958,170.38378450586194,737.7379953007245,872.8339645056086,True
individual_window,path_length_diag,382,0.0,0,0.015208622548926364,0.02770430949803724,0.10648986531616372,0.4610862470629528,0.5455212278160054,True
individual_window,net_displacement_px,382,0.0,0,3.6074320794814403,4.34274152053672,81.63162698334345,538.0061035860559,643.8892436197862,True
individual_window,net_displacement_diag,382,0.0,0,0.0022546450496759,0.0027142134503354495,0.05101976686458966,0.33625381474128496,0.40243077726236637,True
individual_window,path_efficiency,382,0.0,0,0.04124875858647358,0.05345200126274432,0.48991944312762403,0.9224989107078939,0.9797433863077489,True
individual_window,mean_speed_px_s,382,0.0,0,8.193423097517536,10.662387747976114,38.089291821483,183.219102027833,224.48002824817948,True
individual_window,median_speed_px_s,382,0.0,0,4.760241423394119,6.265124238172797,22.693029699669616,157.60682704297287,221.18849319028655,True
individual_window,max_speed_px_s,382,0.0,0,42.031098724485105,42.16467344715084,196.20636559472973,772.0244398490343,870.6310459865629,True
individual_window,p95_speed_px_s,382,0.0,0,22.55648094810735,30.357640312864845,109.78719320907945,449.17333963991007,537.3761099559423,True
individual_window,speed_std_px_s,382,0.0,0,8.98698846862223,9.988126230593126,38.47206463194975,151.82300362296303,205.4429965446134,True
individual_window,mean_speed_diag_s,382,0.0,0,0.005120889435948461,0.006663992342485071,0.02380580738842688,0.1145119387673956,0.14030001765511219,True
individual_window,median_speed_diag_s,382,0.0,0,0.0029751508896213243,0.003915702648857999,0.014183143562293509,0.09850426690185804,0.1382428082439291,True
individual_window,max_speed_diag_s,382,0.0,0,0.02626943670280319,0.026352920904469276,0.12262897849670606,0.48251527490564644,0.5441444037416018,True
individual_window,mean_abs_accel_px_s2,382,0.0,0,136.34079983776536,168.2970999294929,471.4014063266214,1604.7040156953422,1872.137753712403,True
individual_window,p95_abs_accel_px_s2,382,0.0,0,382.7922900224622,482.4809768696296,1367.3182028028746,4655.812056484392,7066.842097766995,True
individual_window,mean_abs_accel_diag_s2,382,0.0,0,0.08521299989860333,0.10518568745593306,0.2946258789541384,1.0029400098095886,1.170086096070252,True
individual_window,mean_abs_turn_rad,382,0.0,0,0.13358361364323842,0.17113392395081778,0.5210030581204343,1.117678889910575,1.219776677084208,True
individual_window,median_abs_turn_rad,382,0.0,0,0.0666880894189199,0.09076536509159878,0.34775038931815316,1.1815397286652611,1.2692082946989665,True
individual_window,p95_abs_turn_rad,382,0.0,0,0.38004936819822915,0.46458219262880046,1.5299028463530704,3.071383368353019,3.141592653589793,True
individual_window,cumulative_abs_turn_rad,382,0.0,0,8.54935127316726,11.442332292605094,37.35160087531433,80.06210181183123,92.03470162886752,True
individual_window,turn_rate_rad_s,382,0.0,0,2.2586321131418394,3.0460065658921374,8.03982004901306,16.49443465313186,18.551360963285386,True
individual_window,heading_resultant_length,382,0.0,0,0.010208616245340175,0.03749057933410563,0.3587690834234115,0.8516489587448437,0.9770633366333724,True
individual_window,distance_last_1s_px,382,0.0,0,0.0,0.0,21.834759077725742,233.09184843053677,270.66031016137106,True
individual_window,distance_last_1s_diag,382,0.0,0,0.0,0.0,0.01364672442357859,0.14568240526908546,0.16916269385085692,True
individual_window,x_mean_norm,382,0.0,0,0.2369538518900428,0.24136153598857488,0.42813156230582133,0.8003093590922248,0.8379131487437658,True
individual_window,x_std_norm,382,0.0,0,0.0008976867391825966,0.0015622627859068644,0.017604287187272402,0.14875257382374082,0.15760253851931197,True
individual_window,x_range_norm,382,0.0,0,0.002861893177032504,0.00600900983810423,0.06348085999488828,0.4296688973903656,0.5176269680261611,True
individual_window,y_mean_norm,382,0.0,0,0.1688024757452953,0.17624928789907818,0.4725832319149347,0.6844473911133054,0.6898215524081528,True
individual_window,y_std_norm,382,0.0,0,0.0006517434847682396,0.001124162814715726,0.01337720427719188,0.11107575490929456,0.12282318901358277,True
individual_window,y_range_norm,382,0.0,0,0.0026896397272745953,0.006085252761840798,0.045705449581146224,0.3085800806681315,0.33105188210805264,True
individual_window,mean_distance_to_frame_center_diag,382,0.0,0,0.04144686583364707,0.04865899228507127,0.15361158603691843,0.26557461983013275,0.276981939180005,True
individual_window,median_distance_to_frame_center_diag,382,0.0,0,0.041845368753628584,0.045226109389788396,0.15368771492854266,0.26508567130209004,0.27076310921526686,True
individual_window,mean_distance_to_nearest_frame_edge_min_dim,382,0.0,0,0.1688024757452953,0.17624928789907818,0.33010341603919946,0.4689805955335326,0.4745975799167279,True
individual_window,median_distance_to_nearest_frame_edge_min_dim,382,0.0,0,0.16952648758888245,0.17611984147628149,0.32679402430852256,0.47236079661051433,0.47473436991373696,True
individual_window,frame_edge_band_ratio,382,0.0,0,0.0,0.0,0.0,0.0,0.0,True
individual_window,frame_center_box_ratio,382,0.0,0,0.0,0.0,1.0,1.0,1.0,True
individual_window,mean_nnd_diag,382,0.0,0,0.06824849820092135,0.0752595183300507,0.1783074014690464,0.42258568288518567,0.44763749298203526,True
individual_window,median_nnd_diag,382,0.0,0,0.06610070320683965,0.06674917659195875,0.18550628187012402,0.4505677299378322,0.4617703116355458,True
individual_window,min_nnd_diag,382,0.0,0,0.01246053410111108,0.01246053410111108,0.11346398692693088,0.3651192592064343,0.3870330658217797,True
individual_window,neighbor_observation_ratio,382,0.0,0,0.09375,0.3560352233676976,1.0,1.0,1.0,True
group_frame,frame_index,3150,0.0,0,0.0,15.490000000000002,787.0,1998.5099999999998,2030.0,True
group_frame,time_sec,3150,0.0,0,0.0,0.8497090317957715,43.09613663788468,116.38061076213687,118.21438964385361,True
group_frame,n_active_tracks,3150,0.0,0,0.0,1.0,3.0,5.0,6.0,True
