metric,training_validation,reloaded_best_model_validation,absolute_difference
precision,0.96682,0.9677949492608868,0.0009749492608868149
recall,0.9663,0.9664655247601828,0.00016552476018272255
mAP50,0.98976,0.9898324652250613,7.246522506132447e-05
mAP50_95,0.55233,0.5525137653149601,0.00018376531496011594
