camera,dataset_version,model,imgsz,epochs,batch,precision,recall,mAP50,mAP50_95,n_validation_images,n_validation_objects,parameters,GFLOPs,model_size_MB,inference_ms
front,1,yolov8n.pt,640,100,16,0.9677949492608868,0.9664655247601828,0.9898324652250612,0.5525137653149601,254,995,3011043,8.1917,5.95,4.0
top,2,yolov8n.pt,640,100,16,0.967530547941785,0.9713393817483137,0.9834169324420174,0.6062227869655318,302,951,3011043,8.1916928,5.941080093383789,3.7445590926938697
