metric,training_validation,reloaded_best_model_validation,absolute_difference
precision,0.96371,0.967530547941785,0.003820547941784991
recall,0.97792,0.9713393817483137,0.006580618251686321
mAP50,0.98369,0.9834169324420174,0.00027306755798250926
mAP50_95,0.60575,0.6062227869655318,0.00047278696553176847
