camera,workspace,project,version,format,local_path,download_datetime
front,phys-hus,fish_front_detection,1,yolov8,data/roboflow/front_detect_v1,
top,phys-hus,fish-top-detection,2,yolov8,data/roboflow/top_detect_v2,2026-08-29T04:27:41.954338+00:00
