video,video_id,fps,frame_count,duration_sec,mean_detections_per_frame,median_detections_per_frame,mean_tracks_per_frame,median_tracks_per_frame,unique_track_ids,median_lifespan_sec,mean_lifespan_sec,max_lifespan_sec,short_tracks_le_1s,short_tracks_le_2s,tracks_ge_5s,tracks_ge_10s,gap_events,fragmented_tracks_with_gaps,missing_frames_inside_spans,long_gap_events_ge_1s,boundary_near_box_rate,median_center_step_norm,p95_center_step_norm,median_box_size_step_norm,p95_box_size_step_norm,processing_fps,trajectory_usable_for_spatial_features,decision,identity_fragmentation_warning,true_fish_count,official_top_mot_gt_available,detector_decision,notebook_14_decision,ready_for_notebook_15,raw_output,overlay_output
1.mp4,TOP_VIDEO_1,19.350642974397303,1119,57.827535833333336,1.8873994638069704,2.0,2.159964253798034,2.0,33,1.291946734435508,3.7850124328856034,34.624172482871614,13,22,7,4,38,18,133,0,0.0024824162184526274,0.0020278028815129117,0.010227780389398249,0.002635463812389724,0.009789171446501757,42.39658949783983,True,PASS_WITH_WARNING,True,,False,PASS,PASS_WITH_WARNING,True,outputs/top/tracking/1_tracking_raw.csv,outputs/top/tracking/1_tracking_overlay.mp4
2.mp4,TOP_VIDEO_2,17.17219034092054,2031,118.27262333333333,2.9108813392417527,3.0,3.1161989167897586,3.0,53,0.7570379632365009,6.953981522966349,61.087140264237654,27,29,20,12,52,20,230,0,0.0,0.00205076254496078,0.010486692318256755,0.0025896250615504,0.00953543129325774,41.90380444391914,True,PASS_WITH_WARNING,True,,False,PASS,PASS_WITH_WARNING,True,outputs/top/tracking/2_tracking_raw.csv,outputs/top/tracking/2_tracking_overlay.mp4
