configuration,track_buffer,visible_interval_count,visible_frames,visible_tracked_frames,visible_untracked_frames,visible_track_coverage,visible_zero_track_rate,visible_one_track_rate,visible_multi_track_rate,visible_id_transitions,visible_track_segments_total,visible_excess_fragments,untracked_runs,longest_visible_untracked_run_frames,longest_visible_untracked_run_sec,median_visible_untracked_run_frames,p95_visible_untracked_run_frames,mean_track_segment_duration_sec,observed_track_boxes_during_shelter,unique_track_ids_total,median_track_lifespan_sec,mean_track_lifespan_sec,max_track_lifespan_sec,processing_FPS
B15,15,18,2335,2333,2,0.9991434689507495,0.0008565310492505353,0.9991434689507495,0.0,0,19,1,2,1,0.03488157291363062,1.0,1.0,4.283089979342118,6,2,41.50907176722045,41.50907176722045,49.14813623530555,52.40948494789904
B30,30,18,2335,2333,2,0.9991434689507495,0.0008565310492505353,0.9991434689507495,0.0,0,19,1,2,1,0.03488157291363062,1.0,1.0,4.283089979342118,6,2,41.50907176722045,41.50907176722045,49.14813623530555,50.404808319238114
B60,60,18,2335,2333,2,0.9991434689507495,0.0008565310492505353,0.9991434689507495,0.0,0,19,1,2,1,0.03488157291363062,1.0,1.0,4.283089979342118,6,2,41.50907176722045,41.50907176722045,49.14813623530555,52.37333292710702
