experiment_id,video_id,source_video,original_video_name,sensor_file,sensor_sha256,session_id,tank,scenario,session_start_time,session_end_time,sensor_start_timestamp,sensor_end_timestamp,temperature_start,temperature_end,temperature_mean,ph_start,ph_end,ph_mean,light_start,light_end,light_mean,light_change,environment_context_level,sensor_interpolation
TOP_ENV_BEHAVIOR_001,TOP_VIDEO_1,1.mp4,1.mp4,data/raw/sensors/1.json,5cb582b53710638c60d28347030b1161c0bc71323441a5d821dc7d8c4ac72411,20260812_130428_T2_1,T2,baseline,2026-08-12T13:04:28,2026-08-12T13:06:29,2026-08-12T13:04:23.682,2026-08-12T13:06:28.955,25.0,25.0,25.0,6.6,6.6,6.6,203.0,200.0,201.5,-3.0,session,none
TOP_ENV_BEHAVIOR_001,TOP_VIDEO_2,2.mp4,4.mp4,data/raw/sensors/2.json,18dec58ca18fc9a331bf65759a910c80a9ff8c779d1726cd6a7d9c64d4aff523,20260812_131321_T2_4,T2,baseline,2026-08-12T13:13:21,2026-08-12T13:15:21,2026-08-12T13:13:12.769,2026-08-12T13:15:21.543,25.0,25.0,25.0,6.6,6.6,6.6,164.0,165.0,164.5,1.0,session,none
