experiment_id,analysis_type,level,feature,unit,session1_id,session1_n_windows,session1_mean,session1_median,session1_iqr,session1_temperature_mean,session1_ph_mean,session1_light_mean,session2_id,session2_n_windows,session2_mean,session2_median,session2_iqr,session2_temperature_mean,session2_ph_mean,session2_light_mean,mean_difference_session2_minus_session1,median_difference_session2_minus_session1,causal_inference,interpretation
TOP_ENV_BEHAVIOR_001,descriptive_observational_comparison,individual,mean_speed_diag_s,diag/s,20260812_130428_T2_1,82,0.02994141709873697,0.0182733818133509,0.02759001701815425,25.0,6.6,201.5,20260812_131321_T2_4,300,0.030751656601889815,0.02510409097606065,0.026491063274136126,25.0,6.6,164.5,0.0008102395031528431,0.006830709162709753,NOT_SUPPORTED,Recorded behavior differs descriptively between two sessions; session and light condition are confounded.
TOP_ENV_BEHAVIOR_001,descriptive_observational_comparison,individual,path_efficiency,ratio,20260812_130428_T2_1,82,0.5304192363078695,0.5100070236140763,0.36731953819359775,25.0,6.6,201.5,20260812_131321_T2_4,300,0.4982370388886104,0.48320315554058224,0.40415125114818257,25.0,6.6,164.5,-0.032182197419259095,-0.026803868073494108,NOT_SUPPORTED,Recorded behavior differs descriptively between two sessions; session and light condition are confounded.
TOP_ENV_BEHAVIOR_001,descriptive_observational_comparison,individual,mean_abs_turn_rad,rad,20260812_130428_T2_1,82,0.6584781115954615,0.6871782582032244,0.394747037408355,25.0,6.6,201.5,20260812_131321_T2_4,300,0.5452165742484434,0.5026752454054572,0.2567435259478508,25.0,6.6,164.5,-0.11326153734701816,-0.18450301279776726,NOT_SUPPORTED,Recorded behavior differs descriptively between two sessions; session and light condition are confounded.
TOP_ENV_BEHAVIOR_001,descriptive_observational_comparison,group,mean_nnd_diag,diag,20260812_130428_T2_1,53,0.19358107711304157,0.1886857717396852,0.09251042313342481,25.0,6.6,201.5,20260812_131321_T2_4,114,0.22130192756326905,0.20444832462408985,0.11797507822805944,25.0,6.6,164.5,0.027720850450227486,0.015762552884404646,NOT_SUPPORTED,Recorded behavior differs descriptively between two sessions; session and light condition are confounded.
TOP_ENV_BEHAVIOR_001,descriptive_observational_comparison,group,mean_group_rms_radius_diag,diag,20260812_130428_T2_1,53,0.08981363910462614,0.0914439170577607,0.02819072926057309,25.0,6.6,201.5,20260812_131321_T2_4,114,0.16204290267011873,0.1642654948090676,0.03511389702993564,25.0,6.6,164.5,0.07222926356549259,0.0728215777513069,NOT_SUPPORTED,Recorded behavior differs descriptively between two sessions; session and light condition are confounded.
TOP_ENV_BEHAVIOR_001,descriptive_observational_comparison,group,mean_group_polarization,ratio,20260812_130428_T2_1,53,0.5915539818441081,0.5912412198393224,0.11153607021660539,25.0,6.6,201.5,20260812_131321_T2_4,114,0.5508356607639073,0.5387121775766412,0.08700694677526116,25.0,6.6,164.5,-0.04071832108020079,-0.05252904226268118,NOT_SUPPORTED,Recorded behavior differs descriptively between two sessions; session and light condition are confounded.
